co_municipio,,no_municipio,,,populacao,,populacao,
351515,",'",ENGENHEIRO COELHO,,",",21712,,"21,712","INSERT INTO public.populacao VALUES (351515,'ENGENHEIRO COELHO',21712);"
350640,",'",BILAC,,",",8197,,"8,197","INSERT INTO public.populacao VALUES (350640,'BILAC',8197);"
353325,",'",NOVAIS,,",",6057,,"6,057","INSERT INTO public.populacao VALUES (353325,'NOVAIS',6057);"
353510,",'",PALMARES PAULISTA,,",",13691,,"13,691","INSERT INTO public.populacao VALUES (353510,'PALMARES PAULISTA',13691);"
352350,",'",ITATINGA,,",",21139,,"21,139","INSERT INTO public.populacao VALUES (352350,'ITATINGA',21139);"
351210,",'",COLOMBIA,,",",6200,,0,"INSERT INTO public.populacao VALUES (351210,'COLOMBIA',6200);"
350960,",'",CAMPO LIMPO PAULISTA,,",",86407,,"86,407","INSERT INTO public.populacao VALUES (350960,'CAMPO LIMPO PAULISTA',86407);"
353630,",'",PATROCINIO PAULISTA,,",",14941,,"14,941","INSERT INTO public.populacao VALUES (353630,'PATROCINIO PAULISTA',14941);"
355190,",'",SEVERINIA,,",",17820,,"17,82","INSERT INTO public.populacao VALUES (355190,'SEVERINIA',17820);"
353860,",'",PIRACAIA,,",",27617,,"27,617","INSERT INTO public.populacao VALUES (353860,'PIRACAIA',27617);"
352550,",'",JOANOPOLIS,,",",13453,,"13,453","INSERT INTO public.populacao VALUES (352550,'JOANOPOLIS',13453);"
354380,",'",RINOPOLIS,,",",9940,,"9,94","INSERT INTO public.populacao VALUES (354380,'RINOPOLIS',9940);"
355590,",'",URU,,",",1142,,"1,142","INSERT INTO public.populacao VALUES (355590,'URU',1142);"
352115,",'",IPIGUA,,",",5557,,"5,557","INSERT INTO public.populacao VALUES (352115,'IPIGUA',5557);"
355570,",'",UNIAO PAULISTA,,",",1886,,"1,886","INSERT INTO public.populacao VALUES (355570,'UNIAO PAULISTA',1886);"
355170,",'",SERTAOZINHO,,",",128432,,"128,432","INSERT INTO public.populacao VALUES (355170,'SERTAOZINHO',128432);"
351130,",'",CEDRAL,,",",9452,,"9,452","INSERT INTO public.populacao VALUES (351130,'CEDRAL',9452);"
353410,",'",ORIENTE,,",",6569,,"6,569","INSERT INTO public.populacao VALUES (353410,'ORIENTE',6569);"
353460,",'",OSVALDO CRUZ,,",",33118,,"33,118","INSERT INTO public.populacao VALUES (353460,'OSVALDO CRUZ',33118);"
355280,",'",TABOAO DA SERRA,,",",297528,,"297,528","INSERT INTO public.populacao VALUES (355280,'TABOAO DA SERRA',297528);"
355670,",'",VINHEDO,,",",81516,,"81,516","INSERT INTO public.populacao VALUES (355670,'VINHEDO',81516);"
352490,",'",JAMBEIRO,,",",6828,,"6,828","INSERT INTO public.populacao VALUES (352490,'JAMBEIRO',6828);"
355310,",'",TAIACU,,",",6346,,"6,346","INSERT INTO public.populacao VALUES (355310,'TAIACU',6346);"
